match_id,venue,innings,ball,batting_team,bowling_team,runs_off_bat,total_run,runs_6_overs,wickets_6_overs
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,1.7,Kolkata Knight Riders,Chennai Super Kings,1,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,2.1,Kolkata Knight Riders,Chennai Super Kings,2,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,2.2,Kolkata Knight Riders,Chennai Super Kings,6,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,2.3,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,2.4,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,2.5,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,2.6,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,3.1,Kolkata Knight Riders,Chennai Super Kings,1,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,3.2,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,3.3,Kolkata Knight Riders,Chennai Super Kings,4,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,3.4,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,3.5,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,3.6,Kolkata Knight Riders,Chennai Super Kings,1,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,4.1,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,4.2,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,4.3,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,4.4,Kolkata Knight Riders,Chennai Super Kings,4,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,4.5,Kolkata Knight Riders,Chennai Super Kings,4,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,4.6,Kolkata Knight Riders,Chennai Super Kings,4,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,5.1,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,5.2,Kolkata Knight Riders,Chennai Super Kings,1,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,5.3,Kolkata Knight Riders,Chennai Super Kings,4,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,5.4,Kolkata Knight Riders,Chennai Super Kings,6,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,5.5,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,5.6,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335992,M.Chinnaswamy Stadium,1,0.1,Royal Challengers Bangalore,Rajasthan Royals,1,139,60,3
335992,M.Chinnaswamy Stadium,1,0.2,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,0.3,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,0.4,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,0.5,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,0.6,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,1.1,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,1.2,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,1.3,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,1.4,Royal Challengers Bangalore,Rajasthan Royals,1,139,60,3
335992,M.Chinnaswamy Stadium,1,1.5,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,1.6,Royal Challengers Bangalore,Rajasthan Royals,6,139,60,3
335992,M.Chinnaswamy Stadium,1,1.7,Royal Challengers Bangalore,Rajasthan Royals,6,139,60,3
335992,M.Chinnaswamy Stadium,1,2.1,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,2.2,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,2.3,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,2.4,Royal Challengers Bangalore,Rajasthan Royals,1,139,60,3
335992,M.Chinnaswamy Stadium,1,2.5,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,2.6,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,3.1,Royal Challengers Bangalore,Rajasthan Royals,4,139,60,3
335992,M.Chinnaswamy Stadium,1,3.2,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,3.3,Royal Challengers Bangalore,Rajasthan Royals,4,139,60,3
335992,M.Chinnaswamy Stadium,1,3.4,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,3.5,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,3.6,Royal Challengers Bangalore,Rajasthan Royals,4,139,60,3
335992,M.Chinnaswamy Stadium,1,4.1,Royal Challengers Bangalore,Rajasthan Royals,4,139,60,3
335992,M.Chinnaswamy Stadium,1,4.2,Royal Challengers Bangalore,Rajasthan Royals,4,139,60,3
335992,M.Chinnaswamy Stadium,1,4.3,Royal Challengers Bangalore,Rajasthan Royals,1,139,60,3
335992,M.Chinnaswamy Stadium,1,4.4,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,4.5,Royal Challengers Bangalore,Rajasthan Royals,4,139,60,3
335992,M.Chinnaswamy Stadium,1,4.6,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,5.1,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,5.2,Royal Challengers Bangalore,Rajasthan Royals,0,139,60,3
335992,M.Chinnaswamy Stadium,1,5.3,Royal Challengers Bangalore,Rajasthan Royals,1,139,60,3
335992,M.Chinnaswamy Stadium,1,5.4,Royal Challengers Bangalore,Rajasthan Royals,4,139,60,3
